timestamp,suite,engine,case_id,operation,loops,total_ms,avg_ms,expected,actual,status
"20260413 14:34:31","accuracy","hbnum","ACC_ADD_CARRY","add","1","0","0.00","1000000000000000000000000000000","1000000000000000000000000000000","PASS"
"20260413 14:34:31","accuracy","hbnum","ACC_SUB_NEG","sub","1","0","0.00","-10000000000000000000","-10000000000000000000","PASS"
"20260413 14:34:31","accuracy","hbnum","ACC_MUL","mul","1","0","0.00","121932631112635269","121932631112635269","PASS"
"20260413 14:34:31","accuracy","hbnum","ACC_DIV_EXACT","div","1","0","0.00","12","12","PASS"
"20260413 14:34:31","accuracy","hbnum","ACC_MOD","mod","1","0","0.00","1","1","PASS"
"20260413 14:34:31","accuracy","hbnum","ACC_POWINT","powint","1","0","0.00","4294967296","4294967296","PASS"
"20260413 14:34:31","accuracy","hbnum","ACC_GCD","gcd","1","0","0.00","90","90","PASS"
"20260413 14:34:31","accuracy","hbnum","ACC_LCM","lcm","1","0","0.00","42","42","PASS"
"20260413 14:34:31","accuracy_compare","hbnum_vs_tbig","ACC_ADD_CARRY","add","1","0","0.00","1000000000000000000000000000000","HBNum=1000000000000000000000000000000; tBig=1000000000000000000000000000000","PASS"
"20260413 14:34:31","accuracy_compare","hbnum_vs_tbig","ACC_SUB_NEG","sub","1","0","0.00","-10000000000000000000","HBNum=-10000000000000000000; tBig=-10000000000000000000","PASS"
"20260413 14:34:31","accuracy_compare","hbnum_vs_tbig","ACC_MUL","mul","1","4","4.00","121932631112635269","HBNum=121932631112635269; tBig=121932631112635269","PASS"
"20260413 14:34:31","accuracy_compare","hbnum_vs_tbig","ACC_DIV_EXACT","div","1","0","0.00","12","HBNum=12; tBig=12","PASS"
"20260413 14:34:31","accuracy_compare","hbnum_vs_tbig","ACC_MOD","mod","1","0","0.00","1","HBNum=1; tBig=1","PASS"
"20260413 14:34:31","accuracy_compare","hbnum_vs_tbig","ACC_POWINT","powint","1","0","0.00","4294967296","HBNum=4294967296; tBig=4294967296","PASS"
"20260413 14:34:31","accuracy_compare","hbnum_vs_tbig","ACC_GCD","gcd","1","0","0.00","90","HBNum=90; tBig=90","PASS"
"20260413 14:34:31","accuracy_compare","hbnum_vs_tbig","ACC_LCM","lcm","1","0","0.00","42","HBNum=42; tBig=42","PASS"
"20260413 14:34:32","performance","hbnum","PERF_ADD_96D","add","3000","31","0.01","","1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","OK"
"20260413 14:34:32","performance","hbnum","PERF_MUL_48D","mul","600","8","0.01","","108215210259106842150739216327556774844003962804723060507559823197544734034433348574911222374638","OK"
"20260413 14:34:32","performance","hbnum","PERF_MOD_96D","mod","900","12","0.01","","3366793039616845275","OK"
"20260413 14:34:32","performance","hbnum","PERF_POWINT","powint","220","0","0.00","","1797010299914431210413179829509605039731475627537851106401","OK"
"20260413 14:34:32","performance","hbnum","PERF_GCD","gcd","1200","26","0.02","","90","OK"
"20260413 14:34:32","performance","tbig","PERF_ADD_96D","add","1000","18","0.02","","1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","OK"
"20260413 14:34:32","performance","tbig","PERF_MUL_48D","mul","120","5","0.04","","108215210259106842150739216327556774844003962804723060507559823197544734034433348574911222374638","OK"
"20260413 14:34:56","performance","tbig","PERF_MOD_96D","mod","120","24453","203.78","","3366793039616845275","OK"
"20260413 14:34:56","performance","tbig","PERF_POWINT","powint","20","135","6.75","","1797010299914431210413179829509605039731475627537851106401","OK"
"20260413 14:34:59","performance","tbig","PERF_GCD","gcd","180","2291","12.73","","90","OK"
